labid	subid	CDI.form	CDI.agerange	CDI.agedays	vocab_nwords	standardized.score.CDI	CDI.error	Notes	subid_unique	standardized.score.CDI.num	language	language_zone	trial_order	method	age_days	age_mo	age_group	nae	gender	second_session	CDI.agemin	CDI.agemax	IDS_pref	CDI.nwords	CDI.prop	z_age_months	CDI.z_age_months	CDI.grouped.z_age_months	z_standardized_CDI	z_vocab_nwords	percentile
babylabbrookes	mb64	O-CDI	24	733	383	NA	FALSE	NA	babylabbrookes:mb64	NA	British English	British	3	singlescreen	120	3.94250513347022	3-6 mo	FALSE	M	FALSE	685	776	0.109071466761718	416	0.920673076923077	-5.85812397783344	2.93508005984637	0.0108616375489489	NA	1.46518398360545	86
babylabbrookes	mb65	O-CDI	18	565	90	NA	FALSE	NA	babylabbrookes:mb65	NA	British English	British	1	singlescreen	357	11.7289527720739	9-12 mo	FALSE	M	FALSE	502	594	-0.207987470634299	416	0.216346153846154	1.92832366077026	-2.58442712701195	0.300381343502492	NA	-0.477118433910907	73
babylabbrookes	mb65	O-CDI	24	713	227	NA	FALSE	NA	babylabbrookes:mb65	NA	British English	British	1	singlescreen	357	11.7289527720739	9-12 mo	FALSE	M	FALSE	685	776	-0.207987470634299	416	0.545673076923077	1.92832366077026	2.27799587093467	-0.646222551362756	NA	0.431057099194011	58
babylabbrookes	mb66	O-CDI	18	557	79	NA	FALSE	NA	babylabbrookes:mb66	NA	British English	British	2	singlescreen	409	13.4373716632444	12-15 mo	FALSE	F	FALSE	502	594	0.574497898178421	416	0.189903846153846	3.63674255194069	-2.84726080257663	0.0375476679378106	NA	-0.550037637298893	72
babylabbrookes	mb74	O-CDI	18	570	350	NA	FALSE	NA	babylabbrookes:mb74	NA	British English	British	1	singlescreen	446	14.652977412731	12-15 mo	FALSE	F	FALSE	502	594	0.460161145926589	416	0.841346153846154	4.85234830142734	-2.42015607978402	0.464652390730418	NA	1.24642637344149	99
babylabbrookes	mb77	O-CDI	18	539	194	NA	FALSE	NA	babylabbrookes:mb77	NA	British English	British	1	singlescreen	193	6.34086242299795	6-9 mo	FALSE	M	FALSE	502	594	0.512859831323622	416	0.466346153846154	-3.45976668830572	-3.43863657259716	-0.553828102082723	NA	0.212299489030053	96
babylabbrookes	mb77	O-CDI	24	756	411	NA	FALSE	NA	babylabbrookes:mb77	NA	British English	British	1	singlescreen	193	6.34086242299795	6-9 mo	FALSE	M	FALSE	685	776	0.512859831323622	416	0.987980769230769	-3.45976668830572	3.69072687709483	0.766508454797409	NA	1.65079650132032	84
babylabbrookes	mb78	O-CDI	18	584	7	NA	FALSE	NA	babylabbrookes:mb78	NA	British English	British	2	singlescreen	234	7.68788501026694	6-9 mo	FALSE	M	FALSE	502	594	0.350058042048239	416	0.0168269230769231	-2.11274410103672	-1.96019714754583	0.924611322968611	NA	-1.02732696856571	5
babylabbrookes	mb79	O-CDI	18	568	6	NA	FALSE	NA	babylabbrookes:mb79	NA	British English	British	3	singlescreen	218	7.16221765913758	6-9 mo	FALSE	M	FALSE	502	594	-0.261854669040298	416	0.0144230769230769	-2.63841145216609	-2.48586449867519	0.398943971839248	NA	-1.03395598705553	5
babylabbrookes	mb80	O-CDI	24	743	407	NA	FALSE	NA	babylabbrookes:mb80	NA	British English	British	4	singlescreen	270	8.87063655030801	6-9 mo	FALSE	F	FALSE	685	776	0.107223245344792	416	0.978365384615385	-0.929992560995657	3.26362215430222	0.339403732004801	NA	1.62428042736106	87
babylabbrookes	mb81	O-CDI	24	744	302	NA	FALSE	NA	babylabbrookes:mb81	NA	British English	British	4	singlescreen	229	7.52361396303901	6-9 mo	FALSE	F	FALSE	685	776	-0.433499227732967	416	0.725961538461538	-2.27701514826465	3.29647636374781	0.372257941450386	NA	0.92823348593028	64
babylabbrookes	mb84	O-CDI	18	567	11	NA	FALSE	NA	babylabbrookes:mb84	NA	British English	British	2	singlescreen	422	13.864476386037	12-15 mo	FALSE	F	FALSE	502	594	-0.0455552040493515	416	0.0264423076923077	4.0638472747333	-2.51871870812078	0.366089762393663	NA	-1.00081089460644	10
babylabbrookes	mb84	O-CDI	24	715	122	NA	FALSE	NA	babylabbrookes:mb84	NA	British English	British	2	singlescreen	422	13.864476386037	12-15 mo	FALSE	F	FALSE	685	776	-0.0455552040493515	416	0.293269230769231	4.0638472747333	2.34370428982584	-0.580514132471585	NA	-0.264989842236765	37
babylabbrookes	mb92	O-CDI	18	542	53	NA	FALSE	NA	babylabbrookes:mb92	NA	British English	British	2	singlescreen	108	3.5482546201232	3-6 mo	FALSE	M	FALSE	502	594	0.684055666003976	416	0.127403846153846	-6.25237449118046	-3.34007394426041	-0.455265473745968	NA	-0.722392118034133	63
babylabbrookes	mb93	O-CDI	18	539	143	NA	FALSE	NA	babylabbrookes:mb93	NA	British English	British	4	singlescreen	127	4.17248459958932	3-6 mo	FALSE	F	FALSE	502	594	0.125025093347252	416	0.34375	-5.62814451171434	-3.43863657259716	-0.553828102082723	NA	-0.12578045395061	92
babylablmu	9	FRAKIS	18	589	70	51-75	TRUE	already aged out; filled out pen-and-paper version	babylablmu:9	NA	German	Other	1	eyetracking	321	10.5462012320329	9-12 mo	FALSE	F	FALSE	502	594	-0.254562470753393	NA	NA	0.745572120729189	-1.7959261003179	1.08888237019654	NA	-0.609698803707245	54
babylablmu	14	FRAKIS	24	723	207	26-50	FALSE	filled out web-based version	babylablmu:14	NA	German	Other	2	eyetracking	343	11.2689938398357	9-12 mo	FALSE	F	FALSE	685	776	0.935064935064935	NA	NA	1.46836472853206	2.60653796539052	-0.317680456906903	NA	0.298476729397673	49
babylablmu	16	FRAKIS	24	731	241	51-75	FALSE	filled out web-based version	babylablmu:16	NA	German	Other	4	eyetracking	353	11.5975359342916	9-12 mo	FALSE	M	FALSE	685	776	-0.170212765957447	NA	NA	1.79690682298792	2.8693716409552	-0.0548467813422216	NA	0.523863358051448	52
babylablmu	18	FRAKIS	18	585	194	76-90	TRUE	already aged out; filled out pen-and-paper version	babylablmu:18	NA	German	Other	1	eyetracking	331	10.8747433264887	9-12 mo	FALSE	F	FALSE	502	594	-0.177114427860697	NA	NA	1.07411421518504	-1.92734293810024	0.957465532414197	NA	0.212299489030053	86
babylablmu	18	FRAKIS	24	726	559	91-100	FALSE	filled out web-based version	babylablmu:18	NA	German	Other	1	eyetracking	331	10.8747433264887	9-12 mo	FALSE	F	FALSE	685	776	-0.177114427860697	NA	NA	1.07411421518504	2.70510059372727	-0.219117828570148	NA	2.63189123781323	99
babylablmu	19	FRAKIS	24	735	82	11-25	FALSE	filled out web-based version	babylablmu:19	NA	German	Other	3	eyetracking	355	11.6632443531828	9-12 mo	FALSE	F	FALSE	685	776	-0.0892494929006085	NA	NA	1.86261524187909	3.00078847873754	0.0765700564401193	NA	-0.530150581829442	18
babylablmu	20	FRAKIS	18	593	65	26-50	TRUE	already aged out; filled out pen-and-paper version	babylablmu:20	NA	German	Other	4	eyetracking	341	11.2032854209446	9-12 mo	FALSE	M	FALSE	502	594	-0.203837953091684	NA	NA	1.40265630964089	-1.66450926253556	1.22029920797888	NA	-0.64284389615633	50
babylablmu	20	FRAKIS	24	727	311	76-90	FALSE	filled out web-based version	babylablmu:20	NA	German	Other	4	eyetracking	341	11.2032854209446	9-12 mo	FALSE	M	FALSE	685	776	-0.203837953091684	NA	NA	1.40265630964089	2.73795480317286	-0.186263619124562	NA	0.987894652338632	69
babylablmu	22	FRAKIS	24	730	128	11-25	FALSE	filled out web-based version	babylablmu:22	NA	German	Other	2	eyetracking	368	12.0903490759754	12-15 mo	FALSE	F	FALSE	685	776	0.68693009118541	NA	NA	2.28971996467169	2.83651743150962	-0.0877009907878068	NA	-0.225215731297864	30
babylablmu	27	FRAKIS	24	730	248	51-75	FALSE	filled out web-based version	babylablmu:27	NA	German	Other	1	eyetracking	390	12.8131416837782	12-15 mo	FALSE	M	FALSE	685	776	0.428633784373636	NA	NA	3.01251257247457	2.83651743150962	-0.0877009907878068	NA	0.570266487480166	54
